"lon","lat"
-164.833343,55.083775
-164.500015,55.083774
-165.500015,55.083774
-162.500015,55.937504
-162.166687,55.937504
-163.166687,55.937504
-173.166672,58.067551
-173.833343,58.993141
-174.166673,58.993141
-176.5,58.993141
-176.166671,58.993141
-177.500001,58.993141
-177.833329,59.944141
-168.166671,56.98737
-169.166672,56.98737
-170.833344,56.98737
-171.833343,56.98737
-171.500015,56.98737
-172.833343,56.98737
-168.500015,56.98737
-165.833344,54.413647
-165.166687,54.58015
-164.833344,54.915199
-164.833344,54.747329
-164.500015,54.915199
-164.166687,55.083774
-165.166687,54.74733
-165.500016,54.74733
-165.166687,54.915199
-164.500015,55.253059
-164.166687,55.253059
-165.166687,55.083775
-165.500015,55.253059
-163.833343,55.083775
-165.500015,54.915199
-163.833344,55.253059
-167.500015,55.25306
-164.833343,55.253059
-164.500015,55.423065
-164.166687,55.423065
-167.500015,55.423065
-163.833343,55.423065
-165.166687,55.253059
-163.500015,55.423065
-165.500015,55.423065
-165.166687,55.423065
-164.833344,55.423065
-164.833344,55.5938
-164.500016,55.5938
-164.166687,55.5938
-163.833343,55.5938
-165.833344,55.593799
-163.500015,55.5938
-165.500015,55.5938
-163.166687,55.5938
-163.166687,55.765274
-162.833344,55.937504
-162.500016,55.765274
-170.166671,56.1105
-164.166687,55.765274
-162.833343,55.765274
-163.833344,55.765274
-163.500015,55.765274
-168.833343,55.937504
-164.166687,56.1105
-163.500016,55.937504
-170.166672,56.284271
-162.833343,56.1105
-164.833344,55.937504
-162.500015,56.1105
-162.166687,56.1105
-164.500015,55.937504
-163.833343,56.1105
-163.833344,55.937504
-163.500015,56.1105
-163.166687,56.1105
-169.833344,56.284271
-165.500015,56.1105
-162.500015,56.284271
-170.500016,56.284271
-170.166672,56.458832
-170.500015,56.458832
-165.833343,56.284271
-165.500015,56.284271
-168.833344,56.284271
-166.500015,56.284271
-163.833344,56.284271
-163.500016,56.284271
-169.833344,56.458832
-167.833344,56.284271
-168.833344,56.458832
-169.500016,56.458832
-163.833343,56.458832
-169.166672,56.458832
-166.166687,56.458832
-169.166672,56.284271
-170.500015,56.634194
-163.500015,56.458832
-164.500015,56.634194
-166.166687,56.634194
-164.166687,56.458832
-168.500016,56.458832
-164.833344,56.458832
-165.833344,56.458832
-168.500016,56.634193
-163.500016,56.634193
-169.166672,56.634193
-163.166687,56.634193
-166.500015,56.458832
-170.166671,56.634194
-168.166671,56.810372
-168.166672,56.634193
-169.833343,56.810371
-170.833343,56.810371
-170.166672,56.810371
-171.166672,56.634193
-171.500014,56.810372
-167.166687,56.634193
-168.833344,56.634193
-167.500015,56.810371
-168.833343,56.810371
-168.500015,56.810372
-172.166672,56.98737
-172.833344,57.165215
-169.500016,56.810371
-169.166672,56.810371
-170.500015,56.810371
-167.833344,56.810371
-171.166672,56.98737
-171.833343,57.165215
-169.833344,56.987369
-173.499999,57.165215
-173.166671,56.98737
-173.166672,57.165215
-167.833344,56.98737
-170.500016,56.987369
-171.833344,56.810371
-171.166671,57.165215
-172.499999,57.165215
-168.500016,57.165215
-168.166671,57.165215
-172.166672,57.165215
-172.5,57.343914
-170.833343,57.165215
-173.499999,57.343914
-173.166671,57.343914
-171.500015,57.165215
-168.166671,57.343914
-170.833344,57.343914
-171.833343,57.343914
-167.833344,57.165215
-172.166672,57.343914
-173.833344,57.523483
-171.166672,57.343914
-172.833343,57.703941
-173.5,57.703941
-173.166671,57.703941
-173.499999,57.523483
-173.166672,57.523483
-174.166672,57.523483
-171.166672,57.523483
-172.5,57.523483
-173.166671,57.885288
-173.833343,57.885288
-171.500016,57.885288
-171.500015,57.703941
-173.833344,58.067551
-173.5,57.885288
-173.5,58.067551
-172.833343,58.25074
-173.833344,58.25074
-173.500001,58.25074
-174.166672,58.25074
-174.166672,58.434879
-175.500001,58.434879
-176.166672,58.61998
-177.166673,58.61998
-175.833329,58.61998
-175.5,58.61998
-176.499999,58.61998
-170.833343,58.434879
-176.166672,58.806061
-176.5,58.806061
-174.499999,58.61998
-174.166671,58.61998
-172.833344,58.61998
-175.833329,58.806061
-176.833328,58.61998
-173.166672,58.806061
-177.166671,58.993141
-177.833328,58.806061
-177.499999,58.806061
-177.166672,58.806061
-176.833329,58.993141
-173.5,58.806061
-177.833328,58.993141
-174.166672,58.806061
-177.500001,59.181229
-177.166672,59.181229
-178.166672,58.993141
-175.166672,58.806061
-173.833344,58.806061
-176.833328,58.806061
-176.499999,59.181229
-177.833329,59.181229
-173.833344,59.181229
-174.500001,59.181229
-175.833328,58.993141
-175.500001,58.993141
-176.833328,59.370354
-173.166672,59.181229
-174.833329,59.181229
-175.499999,59.181229
-174.166673,59.181229
-177.499999,59.370354
-177.166672,59.370354
-175.166671,59.181229
-175.166673,58.993141
-174.5,59.370354
-174.166673,59.370354
-176.833327,59.560536
-175.833328,59.370354
-177.166671,59.560535
-173.833343,59.370354
-175.166671,59.370354
-176.833328,59.751789
-177.833328,59.751789
-177.500001,59.944141
-178.5,59.751789
-178.166673,59.751789
-174.5,59.751789
-175.166672,59.751789
-175.833329,59.944141
-177.833329,60.1376
-177.499999,59.751789
-177.166671,59.751789
-175.5,59.944141
-175.833328,60.1376
-177.833328,60.332199
-175.166672,59.944141
-178.833328,60.1376
-178.500001,60.1376
-178.5,60.332199
-176.833329,59.944141
-178.166672,60.332199
-178.833327,60.7249
-178.166671,59.944142
-175.833328,60.332199
-178.833328,60.527962
-178.499999,60.724899
-178.5,60.527962
-178.166671,60.527962
-178.166673,60.1376
-178.833327,60.332199
-177.833327,60.527962
-172.5,56.634193
-163.833343,56.987369
-171.833344,57.523483
-173.166672,56.634193
-174.166671,58.067551
-172.833344,56.634193
-168.166672,56.458832
-166.166687,56.284271
-171.166672,56.810371
-169.833343,58.067551
-174.500001,58.434879
-173.833344,58.434879
-174.499999,58.806061
-173.166672,56.810371
